epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
87,374.325,0.57999,0.38737,1.067,0.92017,0.90123,0.90848,0.71898,0.78894,0.53913,1.3125,0.000247716,0.000247716,0.000247716
88,380.244,0.58661,0.39713,1.06768,0.92212,0.87711,0.89766,0.70749,0.80621,0.56962,1.32045,0.000231213,0.000231213,0.000231213
89,387.031,0.60661,0.40645,1.08441,0.91435,0.83951,0.88685,0.71558,0.80405,0.56174,1.32249,0.00021471,0.00021471,0.00021471
90,393.585,0.58954,0.38959,1.07062,0.93045,0.8642,0.90639,0.7153,0.78559,0.55406,1.30829,0.000198206,0.000198206,0.000198206
91,433.576,0.54384,0.35616,1.05027,0.93277,0.88889,0.90493,0.70941,0.83161,0.52046,1.37236,0.000181703,0.000181703,0.000181703
92,437.447,0.52996,0.32161,1.04782,0.93405,0.87426,0.89895,0.72554,0.77181,0.51288,1.32695,0.0001652,0.0001652,0.0001652
93,441.342,0.51513,0.30429,1.02582,0.90111,0.90123,0.89541,0.72116,0.79915,0.54096,1.34183,0.000148696,0.000148696,0.000148696
94,445.267,0.52528,0.31074,1.04208,0.92099,0.86345,0.89201,0.70999,0.80906,0.56547,1.36819,0.000132193,0.000132193,0.000132193
95,449.13,0.50039,0.30066,1.01745,0.93175,0.8642,0.90103,0.71038,0.79861,0.54222,1.33307,0.00011569,0.00011569,0.00011569
96,453.093,0.50048,0.29693,1.02307,0.93235,0.87654,0.9031,0.71969,0.77056,0.53921,1.28872,9.91865e-05,9.91865e-05,9.91865e-05
97,456.999,0.49628,0.29559,1.01699,0.92374,0.87654,0.90051,0.72379,0.75822,0.54277,1.27973,8.26832e-05,8.26832e-05,8.26832e-05
98,460.848,0.49715,0.29628,1.02391,0.93493,0.88688,0.90235,0.73357,0.74997,0.52922,1.27784,6.61799e-05,6.61799e-05,6.61799e-05
99,464.678,0.4876,0.28394,1.00433,0.9204,0.88889,0.90235,0.7276,0.75347,0.52704,1.28474,4.96766e-05,4.96766e-05,4.96766e-05
100,468.415,0.47863,0.28787,1.00651,0.92927,0.88889,0.90462,0.72942,0.7476,0.52341,1.28099,3.31733e-05,3.31733e-05,3.31733e-05
